Date,High,Low,Open,Close,Volume,Adj Close,MACD,MACD_EMA9,RSI
2009-02-09,14.714285850524902,14.214285850524902,14.285714149475098,14.644286155700685,178752700.0,9.76485538482666,,,
2009-02-10,14.644286155700685,13.865714073181152,14.475714683532715,13.975714683532715,212265200.0,9.319046974182127,,,
2009-02-11,14.044285774230955,13.681428909301758,13.76714324951172,13.831428527832033,168743400.0,9.22283935546875,,,
2009-02-12,14.25,13.6899995803833,13.6899995803833,14.181428909301758,204297100.0,9.456219673156738,,,
2009-02-13,14.277142524719238,14.01714324951172,14.14142894744873,14.165714263916016,152244400.0,9.4457426071167,,,
2009-02-17,13.8628568649292,13.468571662902832,13.838571548461914,13.50428581237793,169559600.0,9.004698753356934,,,
2009-02-18,13.692856788635256,13.24571418762207,13.578571319580078,13.481428146362305,171194800.0,8.989456176757812,,,
2009-02-19,13.464285850524902,12.872857093811035,13.338571548461914,12.94857120513916,230701100.0,8.634147644042969,,,
2009-02-20,13.199999809265135,12.714285850524902,12.771428108215332,13.028571128845215,187579000.0,8.687488555908201,,,
2009-02-23,13.142857551574707,12.35857105255127,13.092857360839846,12.421428680419922,196745500.0,8.282645225524902,,,
2009-02-24,12.984285354614258,12.428571701049805,12.492856979370115,12.892857551574707,201776400.0,8.596996307373049,,,
2009-02-25,13.274285316467285,12.75,12.837142944335938,13.022856712341307,208263300.0,8.683679580688478,,,
2009-02-26,13.274285316467285,12.708571434020994,13.142857551574707,12.74142837524414,157467100.0,8.496023178100586,,,
2009-02-27,13.04285717010498,12.524285316467285,12.561429023742676,12.75857162475586,176664600.0,8.507454872131348,,,25.093937417041047
2009-03-02,13.028571128845215,12.524285316467285,12.588571548461914,12.562856674194336,192732400.0,8.376950263977049,,,23.888949016007558
2009-03-03,12.962857246398926,12.554286003112793,12.704285621643065,12.624285697937012,181085100.0,8.417910575866701,,,25.10455148395502
2009-03-04,13.252857208251953,12.778571128845215,12.882857322692873,13.024285316467285,185350900.0,8.684633255004883,,,32.648090492845085
2009-03-05,13.124285697937012,12.635714530944824,12.922857284545898,12.691428184509276,176724800.0,8.462682723999022,,,29.945203374638826
2009-03-06,12.62857151031494,11.761428833007812,12.619999885559082,12.185714721679688,252786800.0,8.125469207763674,,,26.37280476688943
2009-03-09,12.514286041259766,11.795714378356935,12.025713920593262,11.872857093811035,174574400.0,7.916856288909912,,,24.431044589590588
2009-03-10,12.738571166992188,12.05142879486084,12.124285697937012,12.661428451538086,211064700.0,8.442678451538086,,,37.01842018276824
2009-03-11,13.438570976257324,12.79714298248291,12.829999923706055,13.239999771118164,211593200.0,8.828472137451172,,,44.343443580427284
2009-03-12,13.79714298248291,13.142857551574707,13.271428108215332,13.764286041259766,192114300.0,9.178067207336426,,,50.016498758297345
2009-03-13,13.885714530944824,13.572856903076172,13.757143020629885,13.704285621643065,150292100.0,9.13805866241455,,,49.39596658408572
2009-03-16,13.912857055664062,13.454285621643065,13.789999961853027,13.631428718566895,199311000.0,9.089478492736816,,,48.60738929205928
2009-03-17,14.24142837524414,13.581428527832033,13.605713844299315,14.237142562866213,196661500.0,9.493370056152344,-1.0168103813069092,,55.034588859136235
2009-03-18,14.782856941223145,14.24571418762207,14.272856712341307,14.502857208251953,199009300.0,9.670549392700195,-1.0345774480206045,,57.54302541793511
2009-03-19,14.742856979370115,14.321428298950195,14.550000190734865,14.51714324951172,125045200.0,9.680074691772461,-0.9988160702070309,,57.67971122081657
2009-03-20,14.729999542236328,14.367142677307127,14.584285736083984,14.512857437133787,173896800.0,9.677215576171877,-1.0169824467212738,,57.61974820068893
2009-03-23,15.451428413391113,14.535714149475098,14.672857284545898,15.380000114440918,166599300.0,10.255431175231934,-1.0820511011680836,,65.44376261637336
2009-03-24,15.634285926818848,15.05571460723877,15.19428539276123,15.214285850524902,160153000.0,10.144932746887207,-1.1351699803303674,,63.04829429788374
2009-03-25,15.479999542236328,14.837142944335938,15.368571281433105,15.212857246398926,161654500.0,10.143980979919434,-1.0942231938135458,,63.026894617309615
2009-03-26,15.71142864227295,15.368571281433105,15.404285430908205,15.695713996887207,154063000.0,10.465949058532717,-0.9702316580403458,,67.0955879347012
2009-03-27,15.50428581237793,15.199999809265135,15.46142864227295,15.264286041259766,123218200.0,10.178272247314453,-0.809983318984127,-1.0168103813069092,60.67124577897962
2009-03-30,15.001428604125975,14.658571243286133,14.93000030517578,14.927143096923828,125699000.0,9.95346450805664,-0.6457781728693313,-1.0203637946496482,56.14694068803124
2009-03-31,15.350000381469727,15.0,15.064285278320312,15.01714324951172,142520000.0,10.013476371765137,-0.5307789582540714,-1.0160542497611247,57.06732137252211
2009-04-01,15.571428298950195,14.841428756713867,14.869999885559082,15.527142524719238,147343000.0,10.353545188903807,-0.3733025824366809,-1.0162398891531546,61.94182042508678
